date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:32:35	59442/59442	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092d-e832%22	http://www.urbanui.com/bogy/template/demo/vertical-default-light/pages/forms/basic_elements.html	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/demo/vertical-default-light/pages/forms/basic_elements.html	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:35	45920/45920	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092d-b360%22	http://www.urbanui.com/bogy/template/demo/vertical-default-light/pages/forms/advanced_elements.html	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/demo/vertical-default-light/pages/forms/advanced_elements.html	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:35	31938/31938	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092d-7cc2%22	http://www.urbanui.com/bogy/template/demo/vertical-default-light/pages/forms/validation.html	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/demo/vertical-default-light/pages/forms/validation.html	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:36	32454/32454	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092d-7ec6%22	http://www.urbanui.com/bogy/template/demo/vertical-default-light/pages/forms/wizard.html	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/demo/vertical-default-light/pages/forms/wizard.html	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:36	29998/29998	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092d-752e%22	http://www.urbanui.com/bogy/template/demo/vertical-default-light/pages/forms/text_editor.html	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/demo/vertical-default-light/pages/forms/text_editor.html	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:36	32706/32706	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092d-7fc2%22	http://www.urbanui.com/bogy/template/demo/vertical-default-light/pages/forms/code_editor.html	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/demo/vertical-default-light/pages/forms/code_editor.html	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:37	28206/28206	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092d-6e2e%22	http://www.urbanui.com/bogy/template/demo/vertical-default-light/pages/charts/chartjs.html	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/demo/vertical-default-light/pages/charts/chartjs.html	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:37	27530/27530	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092d-6b8a%22	http://www.urbanui.com/bogy/template/demo/vertical-default-light/pages/charts/morris.html	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/demo/vertical-default-light/pages/charts/morris.html	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:37	28766/28766	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092d-705e%22	http://www.urbanui.com/bogy/template/demo/vertical-default-light/pages/charts/flot-chart.html	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/demo/vertical-default-light/pages/charts/flot-chart.html	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:38	29029/29029	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092d-7165%22	http://www.urbanui.com/bogy/template/demo/vertical-default-light/pages/charts/google-charts.html	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/demo/vertical-default-light/pages/charts/google-charts.html	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
